Video Başlığı,Yorum Yapan,Yorum Tarihi,Yorum,Beğeni Sayısı,Yanıt Sayısı,Predicted_Class
Sinyaller ve Sistemler Ders 1 Giriş,@recepahmetkartal6813,1 yıl önce,"herkes tablet kullanarak ders ankatırken, elinde mousle ders anlatmaya çalışan koca yürekli adam.",16,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@albusdumbledore8269,2 yıl önce,Hocam az diksiyona dikkat etsek keşke ya emeğinize sağlık..,7,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@emrecakr7667,4 yıl önce,baun eem 'den hayırlı bayramlar arkadaşlar sınavlara çalışma vakti geldi:)Video ıcın kanala teşekkürler,13,3,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@isayildirim9183,3 yıl önce,Çok Teşekkürler elinize sağlık,2,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@lincolnnavigator7801,3 yıl önce,"Efendim 2 üzeri 0, 1 eşit değil mi?

Niçin 0 dan başlatma gereği duydunuz",14,1,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@sadiyeciflikli6539,5 yıl önce,hocam videoların devamını bekliyoruz :),5,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@nihasilev,5 yıl önce,umarım bu serinin devamı gelir ve seriyi tamamlarsınız..,6,5,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@eem-ahmetkiraz4029,5 ay önce,Hocam emeğinize sağlık bir şey soracaktım bilgisayarın dokunmatik kısmıyla mı yazıyorsunuz ?,1,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@bugrayldrm8279,3 yıl önce,Hocam öncelikle teşekkürler notlarınız ve derslere bakış açılarınız çok güzel ama umarım üniversite hocası değilsinizdir ^^ Sesiniz insanın uykusunu getiriyor,6,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@burakyldrm4060,3 yıl önce,ilk ornek yanlis cozulmustur.,7,7,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@allamov,1 yıl önce,Merhaba video biraz karmaşık geldi. Bi sorum var size şunu bilmek isterdim mesela telefondan bluetooth la başka telefona nasıl dasya aktarımı oluyor yani sinyalleri görmüyoruz ama nasıl oluyorsa dosya iletiliyor bu tip sinyallerin ismi ne??? Cevaplarsınız sevinirim teşekkürler.,1,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@Scatman46,11 ay önce,elektrik mühendisliği içinde geçerli mi anlattıklarınız ?,0,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@saimozkan720,4 yıl önce,Uludağ eem sea vizede başarılar :(,6,7,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@ismailhanifinal9518,11 ay önce,2^0 = 1 olması gerekmez mi?,3,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@ferhatakkoc8553,3 yıl önce,"Seri baştan sona ezbere dayalı anlatım. Fourier Transform nedir, Laplace Z-Transform nedir hiç bir açıklama yok. Linerity açıklıyor, denklemleri veriyor işte bu diyor. Ama ne??",7,2,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@xxxoxxxo4972,4 yıl önce,Kbü den herkese selamlar geçemiceksiniz ndjdksjdj,3,8,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@mustafayasar3707,4 ay önce,Merhaba hocam iletişim numaranız.var mi?,0,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@berkozkan7299,1 yıl önce,2 üzeri 0 1 değil mi ?,1,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@lahanamuhendisi,1 yıl önce,merhaba benim bir soru olacaktı bir sinyalin matematiksel formülünün nasıl elde edileceğini nereden öğrenebilirim oynatma listesinde bu konu ile ilgili bir video bulamadım,0,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@heyahey1957,3 yıl önce,Sayisal isaret isleme dersine mi degerdir ?,0,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@tugcenurerdogan1328,5 yıl önce,hocammm lütfen seri videoooo lütfen,3,2,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@ElectricalElectronicSoftware,2 yıl önce,Youtube İşaretler ve Sistemler adındaki dersler ile bu ders aynı içeriğe mi sahiptir bilen bir arkadaş cevap verebilir mi?,0,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@emrepolat9406,1 yıl önce,Hocam size ulaşabilme imkanım var mı?,0,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@flix1603,3 yıl önce,Hocam çok sağolun ancak özellikle fourier serilerinde çok ağır çalışmıştım. Çok iyi biliyordum. Ancak sizden dinleyince onu bile unuttum. Anlatış tarzını çok kötü maalesef. Ezberci eğitim sistemimizin temsilcisi gibisiniz :) Yine de çok teşekkür ederim. Öğretmeye çalıştıklarıniz için. Suç sizde değil adam akıllı dersi anlatamayan hocamda. Yani ne kadar zor olabilir ki de anlatamiyorlar anlamıyorum.,6,1,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@AltnPesinde76,2 yıl önce,devre tasarım için hangi dersi dinlemeliyim,0,1,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@rbaozktn2867,4 yıl önce,Merhaba bi konuda yardıma ihtiyacım var yardımcı olabilir misiniz ?Acill,0,0,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@enessahin4201,4 yıl önce,"heerşey iyi hoşta hocam bu kadar reklamın ne işi var burda ya, sürekli reklam çıkıyor dersi izleyemedik...",1,1,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@idrisdanismaz6155,3 yıl önce,kral,0,0,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@muhammetkrmzgul2244,2 yıl önce,hocam lütfen yardım edin bilgisayar mühendisliği için çalişabilirmiyim,1,10,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@safvanozturk2035,4 yıl önce,"ağa ilk örnekte sorunun ne olduğu açık değil, 2^n ne ki onu discrete ve devamlı zamanda gösterelim",0,2,pozitif
Sinyaller ve Sistemler Ders 1 Giriş,@mehmetturk1619,4 yıl önce,Size soru sorabilirmiyim,0,1,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@fatihboratopcu2873,6 ay önce,saü,0,0,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@huseyinsar3372,2 yıl önce,ytü,1,0,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@dogukanalpgunduz2595,3 yıl önce,asd,0,0,nötr
Sinyaller ve Sistemler Ders 1 Giriş,@alperenalgul6532,1 yıl önce,BERBAT BIR VIDEO ,0,0,negatif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),,4 yıl önce,https://www.udemy.com/course/sinyaller-ve-sistemler/?referralCode=9C99A23D4B886A877493,0,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@hasanbasrikarakaya976,7 yıl önce,Herkesin bu dersten çaktığını düşünüerek hazırladığını tahmin ediyorum. Emeğine sağlık hocam. Duacınız. Var ol..,47,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@cagrkarakaya1110,1 yıl önce,Derse ele alış şeklin çoğu hocadan iyi Taylan. Emeklerin için teşekkürler.,1,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@bonjovii,6 yıl önce,Sen var ya adamın dibisin ya 3 saatlik dersi 11 dk ya indirmişsin :),6,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@kierkegaard7741,4 yıl önce,Bu ders için Türkçe kaynak çok az. Sanki bölümden bir arkadaşım anlatıyor gibi. Teşekkürler faydalı bir iş.,8,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@suleymanadin,5 yıl önce,İnşallah seneye bu videoları tekrar izlemek zorunda kalmam eline sağlık,2,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@tolgaulusoy5750,5 yıl önce,adam zaman geçtikçe geliştiriyo kendini.İlk önce tahtayı değiştirdi sonra lens aldı :D,5,1,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@aysenurkocak633,7 yıl önce,"Emeğinize sağlık, yolunuz açık olsun :)",8,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@ahmetoguzdemirbas4735,6 yıl önce,Gayet güzel anlatıyorsunuz. Size teşekkür ederim. Çok yardımcı oldunuz.,2,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@Mehmet-lr7ch,3 yıl önce,SEN VARYA KRALSIN COĞU HOCANIN ANLATAMADIGI KONUYU ANLATTIN  ADAMSIN,1,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@esatyatkinoglu8764,5 yıl önce,bu adamdan anlayamayan bir tek ben miyim ya? yine de eline sağlık taylan kardeşim,3,1,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@jdjsjksk,9 ay önce,Senin ALLAH'ına kurban ya! Sonunda biri bu ders hakkında anlayabildiğim bir şeyler söyledi,0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@ardayilmaz622,5 yıl önce,dostum çok sağol. sevap defterin bi hayli kabardı,0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@ismailhakkkoc1353,7 ay önce,emeğinize sağlık hocam teşekkürler,0,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@ERGU9,5 yıl önce,güzel vücut güzel ders anlatımı devam kardeeeş,1,0,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@fyqwerty,1 yıl önce,Teşekkürler gerçekten öğretici,0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@taracat862,4 yıl önce,Emeğinize sağlık çok güzel anlatıyorsunuz videoalrın kısa oluşu da hoş da konuların sıralaması çok karışık ve eksik..,0,0,pozitif
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@atakan4760,7 yıl önce,emeğine sağlık dostum,4,1,nötr
25. Sinyaller ve Sistemler - Konvolüsyon Toplamı(Convolution Sum),@ufukkurekci8510,4 yıl önce,tesekkuler,0,0,nötr
